epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,True,True,cifar10,Logistic,0.49680000000000007,0.50340000000000007,0.50490000000000013
2,0.00295644300058,True,True,cifar10,Logistic,0.37499999999999994,0.42220000000000008,0.42829999999999996
3,0.00291351834312,True,True,cifar10,Logistic,0.26699999999999996,0.38959999999999995,0.40230000000000005
4,0.00287121697329,True,True,cifar10,Logistic,0.17919999999999997,0.37880000000000003,0.38640000000000002
5,0.00282952957787,True,True,cifar10,Logistic,0.10539999999999999,0.36879999999999996,0.38179999999999997
6,0.00278844754212,True,True,cifar10,Logistic,0.053399999999999996,0.37000000000000005,0.37920000000000004
7,0.00274796201847,True,True,cifar10,Logistic,0.029800000000000004,0.3644,0.37849999999999995
8,0.00270806415938,True,True,cifar10,Logistic,0.019400000000000004,0.3624,0.3795
9,0.00266874558292,True,True,cifar10,Logistic,0.013600000000000001,0.36199999999999993,0.37939999999999996
10,0.00262999790721,True,True,cifar10,Logistic,0.0086000000000000017,0.36139999999999994,0.37759999999999999
11,0.00259181298316,True,True,cifar10,Logistic,0.0042000000000000006,0.35920000000000002,0.37969999999999998
12,0.00255418242887,True,True,cifar10,Logistic,0.0022000000000000001,0.35799999999999998,0.37909999999999999
13,0.00251709809527,True,True,cifar10,Logistic,0.0014000000000000002,0.35780000000000001,0.37670000000000003
14,0.00248055229895,True,True,cifar10,Logistic,0.00080000000000000004,0.35700000000000015,0.37489999999999996
15,0.00244453712367,True,True,cifar10,Logistic,0.00040000000000000002,0.35680000000000006,0.3728999999999999
16,0.00240904488601,True,True,cifar10,Logistic,0.00040000000000000002,0.35620000000000007,0.37189999999999995
17,0.00237406790257,True,True,cifar10,Logistic,0.00020000000000000001,0.35560000000000003,0.37209999999999999
18,0.00233959872276,True,True,cifar10,Logistic,0.0,0.35660000000000008,0.37239999999999995
19,0.002305629896,True,True,cifar10,Logistic,0.0,0.35519999999999996,0.37239999999999995
20,0.00227215443738,True,True,cifar10,Logistic,0.0,0.35359999999999997,0.37079999999999996
21,0.00223916489631,True,True,cifar10,Logistic,0.0,0.35160000000000002,0.37030000000000002
22,0.00220665428787,True,True,cifar10,Logistic,0.0,0.35000000000000009,0.36929999999999991
23,0.00217461585999,True,True,cifar10,Logistic,0.0,0.35040000000000004,0.36939999999999995
24,0.00214304262772,True,True,cifar10,Logistic,0.0,0.34960000000000002,0.36829999999999996
25,0.00211192760617,True,True,cifar10,Logistic,0.0,0.34920000000000007,0.36780000000000002
26,0.00208126450889,True,True,cifar10,Logistic,0.0,0.3494000000000001,0.36749999999999994
27,0.0020510465838,True,True,cifar10,Logistic,0.0,0.34940000000000004,0.36719999999999997
28,0.00202126731165,True,True,cifar10,Logistic,0.0,0.35080000000000006,0.36749999999999999
29,0.001991920406,True,True,cifar10,Logistic,0.0,0.35019999999999996,0.36709999999999993
30,0.00196299958043,True,True,cifar10,Logistic,0.0,0.35039999999999999,0.36660000000000004
