epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
26,0.275545328856,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
27,0.274609744549,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
28,0.273677319288,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
29,0.272748053074,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
30,0.271821945906,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
31,0.270898997784,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
32,0.269979178905,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
33,0.269062489271,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018200000000000001
34,0.268148899078,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018200000000000001
35,0.267238408327,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018200000000000001
36,0.266331017017,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018200000000000001
37,0.265426695347,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
38,0.264525443316,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018200000000000004
39,0.263627260923,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
40,0.262732118368,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
41,0.26184001565,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
42,0.260950952768,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
43,0.260064899921,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
44,0.259181857109,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
45,0.258301824331,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
46,0.257424771786,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
47,0.256550699472,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
48,0.255679607391,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0183
