epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,False,False,cifar10,Logistic,0.54399999999999993,0.55620000000000003,0.54880000000000007
2,0.00295644300058,False,False,cifar10,Logistic,0.44239999999999996,0.45400000000000013,0.45679999999999998
3,0.00291351834312,False,False,cifar10,Logistic,0.3544000000000001,0.39899999999999991,0.40429999999999999
4,0.00287121697329,False,False,cifar10,Logistic,0.28699999999999998,0.37179999999999991,0.37939999999999996
5,0.00282952957787,False,False,cifar10,Logistic,0.22320000000000004,0.35200000000000004,0.37060000000000004
6,0.00278844754212,False,False,cifar10,Logistic,0.16120000000000001,0.34840000000000004,0.36259999999999992
7,0.00274796201847,False,False,cifar10,Logistic,0.10000000000000001,0.34879999999999994,0.36520000000000002
8,0.00270806415938,False,False,cifar10,Logistic,0.057399999999999993,0.34399999999999997,0.36119999999999991
9,0.00266874558292,False,False,cifar10,Logistic,0.034799999999999998,0.34459999999999985,0.35879999999999995
10,0.00262999790721,False,False,cifar10,Logistic,0.024000000000000004,0.34179999999999999,0.35799999999999998
11,0.00259181298316,False,False,cifar10,Logistic,0.017800000000000003,0.34320000000000001,0.35749999999999998
12,0.00255418242887,False,False,cifar10,Logistic,0.011200000000000002,0.34320000000000001,0.35909999999999997
13,0.00251709809527,False,False,cifar10,Logistic,0.0076000000000000009,0.34420000000000006,0.35769999999999996
14,0.00248055229895,False,False,cifar10,Logistic,0.0047999999999999996,0.34440000000000004,0.35590000000000005
15,0.00244453712367,False,False,cifar10,Logistic,0.0024000000000000002,0.34199999999999997,0.35470000000000002
16,0.00240904488601,False,False,cifar10,Logistic,0.0016000000000000001,0.34259999999999996,0.35239999999999994
17,0.00237406790257,False,False,cifar10,Logistic,0.00059999999999999995,0.34080000000000005,0.35230000000000006
18,0.00233959872276,False,False,cifar10,Logistic,0.00040000000000000002,0.34179999999999999,0.35209999999999991
19,0.002305629896,False,False,cifar10,Logistic,0.00020000000000000001,0.34019999999999995,0.3503
20,0.00227215443738,False,False,cifar10,Logistic,0.00020000000000000001,0.34199999999999997,0.34989999999999993
21,0.00223916489631,False,False,cifar10,Logistic,0.00020000000000000001,0.34179999999999999,0.35019999999999996
22,0.00220665428787,False,False,cifar10,Logistic,0.0,0.34199999999999997,0.34980000000000006
23,0.00217461585999,False,False,cifar10,Logistic,0.0,0.34179999999999999,0.34939999999999999
24,0.00214304262772,False,False,cifar10,Logistic,0.0,0.34059999999999996,0.34980000000000006
25,0.00211192760617,False,False,cifar10,Logistic,0.0,0.33999999999999991,0.34960000000000002
26,0.00208126450889,False,False,cifar10,Logistic,0.0,0.33979999999999999,0.34980000000000006
27,0.0020510465838,False,False,cifar10,Logistic,0.0,0.33919999999999995,0.34990000000000004
28,0.00202126731165,False,False,cifar10,Logistic,0.0,0.33879999999999993,0.34980000000000006
29,0.001991920406,False,False,cifar10,Logistic,0.0,0.33819999999999995,0.34920000000000001
30,0.00196299958043,False,False,cifar10,Logistic,0.0,0.33799999999999997,0.34920000000000001
