epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,False,False,cifar10,svm,0.63,0.63479999999999992,0.64129999999999998
2,0.00295644300058,False,False,cifar10,svm,0.58079999999999998,0.58999999999999997,0.58790000000000009
3,0.00291351834312,False,False,cifar10,svm,0.51859999999999995,0.5474,0.55110000000000003
4,0.00287121697329,False,False,cifar10,svm,0.48580000000000001,0.5202,0.5243000000000001
5,0.00282952957787,False,False,cifar10,svm,0.4479999999999999,0.49740000000000006,0.50120000000000009
6,0.00278844754212,False,False,cifar10,svm,0.41480000000000006,0.48359999999999986,0.48290000000000005
7,0.00274796201847,False,False,cifar10,svm,0.39000000000000001,0.47440000000000004,0.46710000000000002
8,0.00270806415938,False,False,cifar10,svm,0.35960000000000003,0.4622,0.45730000000000004
9,0.00266874558292,False,False,cifar10,svm,0.33500000000000008,0.45160000000000006,0.45069999999999999
10,0.00262999790721,False,False,cifar10,svm,0.30519999999999997,0.44580000000000003,0.44400000000000001
11,0.00259181298316,False,False,cifar10,svm,0.28000000000000003,0.44179999999999992,0.43799999999999994
12,0.00255418242887,False,False,cifar10,svm,0.25479999999999997,0.43739999999999996,0.43760000000000004
13,0.00251709809527,False,False,cifar10,svm,0.23519999999999999,0.43540000000000001,0.43770000000000003
14,0.00248055229895,False,False,cifar10,svm,0.21440000000000001,0.433,0.43820000000000009
15,0.00244453712367,False,False,cifar10,svm,0.1918,0.43140000000000006,0.43600000000000011
16,0.00240904488601,False,False,cifar10,svm,0.17139999999999997,0.43099999999999994,0.43780000000000002
17,0.00237406790257,False,False,cifar10,svm,0.15439999999999998,0.43159999999999998,0.43790000000000007
18,0.00233959872276,False,False,cifar10,svm,0.13380000000000003,0.433,0.43930000000000002
19,0.002305629896,False,False,cifar10,svm,0.1164,0.43360000000000004,0.44370000000000004
20,0.00227215443738,False,False,cifar10,svm,0.10460000000000001,0.43700000000000006,0.44750000000000001
21,0.00223916489631,False,False,cifar10,svm,0.087400000000000019,0.43859999999999999,0.44870000000000004
22,0.00220665428787,False,False,cifar10,svm,0.075999999999999998,0.44139999999999996,0.4521
23,0.00217461585999,False,False,cifar10,svm,0.061999999999999993,0.44279999999999992,0.4536
24,0.00214304262772,False,False,cifar10,svm,0.055199999999999999,0.4446,0.45620000000000005
25,0.00211192760617,False,False,cifar10,svm,0.048399999999999992,0.44440000000000007,0.45540000000000008
26,0.00208126450889,False,False,cifar10,svm,0.041999999999999996,0.44580000000000003,0.45729999999999998
27,0.0020510465838,False,False,cifar10,svm,0.037000000000000005,0.44600000000000006,0.45679999999999998
28,0.00202126731165,False,False,cifar10,svm,0.033400000000000006,0.44640000000000002,0.45829999999999999
29,0.001991920406,False,False,cifar10,svm,0.028600000000000007,0.44740000000000008,0.45910000000000006
30,0.00196299958043,False,False,cifar10,svm,0.0264,0.44860000000000005,0.45879999999999993
